epoch,total_loss,ce_loss,sp_loss,val_accuracy,val_sparsity,elapsed_s
1,1.8625420554519614,1.812541251292314,0.5000080619474201,0.423,0.0,11.19
2,1.7065909652758742,1.6565910245451476,0.4999993643187501,0.466,0.0,11.34
3,1.649779637146484,1.5997800488606133,0.4999959230270532,0.4689,0.0,11.56
4,1.6229417019183068,1.572942298696474,0.4999940284835103,0.492,0.0,11.32
5,1.5953674856049325,1.5453681421401861,0.49999343739141283,0.4839,0.0,11.29
6,1.5756601253738793,1.5256608032509493,0.49999327603203564,0.5029,0.0,11.44
7,1.5577496442648455,1.5077503276298114,0.4999931515635127,0.5012,0.0,11.41
8,1.5434126024660857,1.493413258391573,0.4999933980614938,0.5041,0.0,11.42
9,1.5319891088758892,1.4819897486425726,0.4999936002752055,0.5192,0.0,11.42
10,1.514640264498913,1.4646408201178627,0.4999944423623097,0.5242,0.0,11.44
11,1.5039724669493069,1.4539730387270604,0.49999428885367214,0.5276,0.0,11.4
12,1.4899712743051827,1.4399718040090692,0.4999947137844837,0.5354,0.0,11.25
13,1.4788219529344602,1.428822411295703,0.4999954218754683,0.5324,0.0,11.12
14,1.4649432839639962,1.414943713361345,0.49999569855687565,0.5408,0.0,11.15
15,1.453722579704831,1.4037228935514874,0.4999967972793238,0.5478,0.0,11.2
16,1.4403874422888012,1.3903877311350439,0.49999710383927426,0.5419,0.0,11.53
17,1.4252507186606718,1.3752509517133082,0.49999762389361097,0.5553,0.0,11.42
18,1.4162448693419356,1.3662450633695364,0.49999801574460684,0.559,0.0,11.38
19,1.4022154283645514,1.3522155144635368,0.4999990617222798,0.5593,0.0,11.29
20,1.3929175342745184,1.342917568848261,0.4999997258338782,0.565,0.0,11.48
21,1.3709088134033907,1.3209087482803619,0.5000006983347256,0.5673,0.0,11.44
22,1.3589674911230727,1.308967347645089,0.5000013936206203,0.572,0.0,11.4
23,1.3544367798758894,1.3044365580429507,0.5000023335751975,0.5835,0.0,11.38
24,1.3392030808626842,1.2892027376862742,0.5000035056982504,0.5794,0.0,11.54
25,1.3315633026230367,1.2815628844453855,0.5000041079948015,0.583,0.0,11.1
26,1.3260195889436375,1.2760191405825603,0.5000047253830658,0.588,0.0,11.17
27,1.3185238990637347,1.2685233592377294,0.5000053635033805,0.5861,0.0,11.13
28,1.3126601566134206,1.2626596082506887,0.5000058647311861,0.5867,0.0,11.11
29,1.3091357004307116,1.2591350502370264,0.5000061664130072,0.5889,0.0,11.22
30,1.3091929824760808,1.2591923149040594,0.5000062737318561,0.5879,0.0,11.24
