epoch,total_loss,ce_loss,sp_loss,val_accuracy,val_sparsity,elapsed_s
1,1.8117101768703412,1.8112101551821775,0.5000236009240455,0.4215,0.0,12.21
2,1.6561770463538596,1.6556770825934837,0.5000156325757351,0.4637,0.0,11.18
3,1.6018379319964162,1.6013379682360402,0.5000122037080242,0.4782,0.0,11.27
4,1.5686250101879735,1.5681250464275975,0.5000106084072377,0.4897,0.0,11.12
5,1.5445403827120885,1.5440404189517125,0.5000100637335911,0.493,0.0,11.09
6,1.5293823056818578,1.5288823419214819,0.500009401222629,0.5022,0.0,11.17
7,1.5100761502600082,1.5095761864996322,0.5000095140293735,0.5025,0.0,11.29
8,1.4922728724491872,1.4917729086888112,0.5000098782122288,0.5189,0.0,11.29
9,1.4812329233150043,1.4807329595546284,0.5000099869030515,0.5156,0.0,11.18
10,1.4715474825685897,1.4710475188082137,0.5000106760912844,0.5211,0.0,11.18
11,1.4584906835995062,1.4579907198391302,0.5000104555083663,0.5283,0.0,11.18
12,1.445705892484816,1.44520592872444,0.5000112181734246,0.5375,0.0,11.08
13,1.4264631564050074,1.4259631926446314,0.5000117613226557,0.5318,0.0,11.14
14,1.4193308429644846,1.4188308792041087,0.5000121206273813,0.5363,0.0,11.13
15,1.406373488628651,1.405873524868275,0.5000125843545665,0.5475,0.0,11.14
16,1.388880469000248,1.388380505239872,0.500013401441257,0.551,0.0,11.13
17,1.377846680028969,1.377346716268593,0.5000138322410681,0.5567,0.0,11.15
18,1.362983405742499,1.362483441982123,0.5000146388092919,0.5581,0.0,11.1
19,1.3523079983108794,1.3518080345505035,0.5000154382127631,0.5624,0.0,11.13
20,1.3379931541355066,1.3374931903751306,0.5000167110996783,0.5651,0.0,12.58
21,1.3248569861702297,1.3243570224098538,0.5000172103457439,0.5678,0.0,11.17
22,1.312269726982507,1.311769763222131,0.5000179195038194,0.578,0.0,11.09
23,1.304159043695006,1.30365907993463,0.500018551221589,0.579,0.0,11.15
24,1.289389504800977,1.288889541040601,0.5000194959018541,0.5835,0.0,56.0
25,1.2853338852562868,1.2848339213434692,0.5000204454602488,0.5872,0.0,11.42
26,1.2741847544374978,1.2736847906771218,0.500020951566184,0.591,0.0,11.19
27,1.2663805676848077,1.2658806039244317,0.5000214210861479,0.5862,0.0,11.16
28,1.26572999045672,1.2652300265439027,0.500021810879183,0.5878,0.0,11.1
29,1.2603155244951663,1.2598155605823487,0.5000221191159905,0.5889,0.0,11.19
30,1.2626126208878539,1.2621126571274779,0.500022283752861,0.5885,0.0,11.09
